epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,2964.48,1.40863,0.77,1.32273,0.82786,0.78672,0.80365,0.35159,2.00355,1.01107,1.80497,0.000397481,0.000397481,0.000397481
124,2988.74,1.38791,0.76599,1.32503,0.81426,0.77825,0.78458,0.36899,1.98858,1.03667,1.81252,0.000394435,0.000394435,0.000394435
125,3012.74,1.42328,0.77729,1.33434,0.82871,0.75426,0.77511,0.36313,1.99338,1.07694,1.79137,0.00039139,0.00039139,0.00039139
126,3036.38,1.4029,0.76999,1.3317,0.84509,0.76413,0.79664,0.34724,1.99916,1.0393,1.80431,0.000388345,0.000388345,0.000388345
127,3059.94,1.39786,0.77746,1.32525,0.83213,0.78367,0.80281,0.35469,1.96911,1.01312,1.79531,0.0003853,0.0003853,0.0003853
128,3083.42,1.39492,0.77186,1.32437,0.80055,0.77311,0.79377,0.34833,1.98639,1.02782,1.79865,0.000382255,0.000382255,0.000382255
129,3107.22,1.4074,0.76508,1.31717,0.82602,0.76685,0.79031,0.33932,1.99056,1.04293,1.79405,0.000379209,0.000379209,0.000379209
130,3131.52,1.41159,0.76378,1.31778,0.80883,0.7588,0.78651,0.34457,1.9859,1.0432,1.78368,0.000376164,0.000376164,0.000376164
131,3154.99,1.39699,0.76045,1.31383,0.76847,0.78327,0.79675,0.37552,1.99541,1.03451,1.80142,0.000373119,0.000373119,0.000373119
132,3178.53,1.41351,0.76397,1.31892,0.80851,0.76622,0.78195,0.3615,1.98129,1.00569,1.78546,0.000370074,0.000370074,0.000370074
133,3201.68,1.4009,0.76191,1.31858,0.8091,0.77805,0.79135,0.35961,2.00203,1.02416,1.81006,0.000367028,0.000367028,0.000367028
134,3225.89,1.38646,0.75249,1.31886,0.80754,0.76731,0.78413,0.35446,1.99286,1.03704,1.81567,0.000363983,0.000363983,0.000363983
135,3250.11,1.39063,0.75614,1.31983,0.7876,0.78925,0.79383,0.33292,2.00013,1.02456,1.80964,0.000360938,0.000360938,0.000360938
136,3273.36,1.3906,0.75327,1.3173,0.7873,0.7796,0.80121,0.35133,2.00144,0.97747,1.79711,0.000357893,0.000357893,0.000357893
137,3296.04,1.38878,0.75203,1.31179,0.80011,0.76917,0.79189,0.34442,2.01281,1.01084,1.81591,0.000354847,0.000354847,0.000354847
138,3319.49,1.38585,0.75549,1.31315,0.80897,0.76166,0.78865,0.34746,1.99704,1.01725,1.80703,0.000351802,0.000351802,0.000351802
139,3343.84,1.39065,0.74951,1.31281,0.83052,0.77031,0.80336,0.32387,2.01506,1.01001,1.79502,0.000348757,0.000348757,0.000348757
140,3367.2,1.36322,0.74129,1.29944,0.82675,0.79484,0.81538,0.3438,2.00627,0.98943,1.81066,0.000345712,0.000345712,0.000345712
141,3390.44,1.38099,0.74496,1.30795,0.8252,0.78258,0.8011,0.33703,2.00183,1.02288,1.80618,0.000342666,0.000342666,0.000342666
142,3414.23,1.38524,0.75054,1.30375,0.81412,0.7535,0.79114,0.35226,1.98578,1.01681,1.79697,0.000339621,0.000339621,0.000339621
143,3438.41,1.38185,0.74195,1.31932,0.80598,0.78999,0.8171,0.35445,2.00058,0.98955,1.81356,0.000336576,0.000336576,0.000336576
144,3462.51,1.38821,0.73543,1.29867,0.82057,0.77937,0.80935,0.35777,1.98185,0.98716,1.78427,0.000333531,0.000333531,0.000333531
145,3486.14,1.36808,0.75517,1.30425,0.81724,0.76207,0.78554,0.36351,1.99417,1.01629,1.80524,0.000330485,0.000330485,0.000330485
146,3508.99,1.36324,0.74423,1.30742,0.80429,0.76948,0.79724,0.35912,2.01056,1.0067,1.81855,0.00032744,0.00032744,0.00032744
147,3532.36,1.38218,0.74287,1.29759,0.77455,0.78573,0.79918,0.35022,1.99338,0.98003,1.80116,0.000324395,0.000324395,0.000324395
148,3556.62,1.36767,0.74401,1.30024,0.77645,0.75897,0.77684,0.33994,2.01533,1.01014,1.83393,0.00032135,0.00032135,0.00032135
149,3580.47,1.3708,0.74171,1.31666,0.77692,0.78451,0.7809,0.34329,2.0117,1.0133,1.83284,0.000318304,0.000318304,0.000318304
150,3603.48,1.37971,0.74021,1.3032,0.81456,0.75634,0.79341,0.34419,2.01315,1.03971,1.82434,0.000315259,0.000315259,0.000315259
151,3627.01,1.36062,0.72809,1.30015,0.8031,0.76397,0.79128,0.32858,2.01765,1.02422,1.82994,0.000312214,0.000312214,0.000312214
152,3651.04,1.36504,0.73069,1.29853,0.83,0.76855,0.80371,0.35243,1.9937,1.00179,1.80697,0.000309169,0.000309169,0.000309169
153,3675.14,1.34679,0.73252,1.29176,0.81541,0.78526,0.8024,0.36236,2.01741,1.02378,1.82845,0.000306124,0.000306124,0.000306124
154,3698.94,1.35265,0.72403,1.29439,0.81062,0.79594,0.79302,0.36939,2.0113,1.03559,1.82437,0.000303078,0.000303078,0.000303078
155,3721.62,1.38778,0.73973,1.3067,0.80162,0.77786,0.79038,0.36577,2.01059,1.00983,1.81044,0.000300033,0.000300033,0.000300033
156,3746.31,1.35505,0.72296,1.30273,0.79999,0.76042,0.77559,0.34477,2.01878,1.01585,1.82272,0.000296988,0.000296988,0.000296988
157,3770.01,1.3539,0.7185,1.28707,0.76738,0.76005,0.77449,0.36335,2.01188,1.03462,1.81095,0.000293943,0.000293943,0.000293943
158,3794.11,1.36658,0.73253,1.29652,0.80369,0.78465,0.7788,0.3557,2.02098,1.02693,1.81386,0.000290897,0.000290897,0.000290897
159,3818.45,1.35875,0.72184,1.29167,0.79993,0.75951,0.76615,0.34469,2.03131,1.01075,1.83152,0.000287852,0.000287852,0.000287852
160,3841.65,1.34879,0.71918,1.28583,0.81184,0.77791,0.78468,0.33345,2.02279,1.01071,1.82517,0.000284807,0.000284807,0.000284807
161,3865.69,1.35855,0.72887,1.29084,0.78983,0.78364,0.77281,0.34581,2.01688,1.00821,1.83776,0.000281762,0.000281762,0.000281762
162,3889.67,1.34596,0.71737,1.28687,0.7889,0.78965,0.78196,0.35672,2.02821,1.02523,1.84535,0.000278716,0.000278716,0.000278716
163,3912.99,1.35608,0.72434,1.28161,0.7782,0.76496,0.76091,0.35499,2.02346,1.02936,1.82977,0.000275671,0.000275671,0.000275671
164,3937.57,1.36679,0.73404,1.31174,0.80072,0.7658,0.77562,0.35397,2.03126,1.00726,1.84429,0.000272626,0.000272626,0.000272626
165,3961.13,1.34594,0.72391,1.29821,0.77568,0.75935,0.75741,0.35464,2.0247,1.02018,1.82518,0.000269581,0.000269581,0.000269581
166,3985.4,1.33916,0.71354,1.28741,0.81423,0.76658,0.78976,0.35599,2.00915,1.01052,1.8234,0.000266535,0.000266535,0.000266535
167,4008.99,1.33566,0.72019,1.28441,0.81327,0.77952,0.78862,0.34291,2.02785,1.03975,1.84852,0.00026349,0.00026349,0.00026349
168,4033.21,1.34248,0.70993,1.28068,0.81464,0.79827,0.78911,0.35632,2.0309,1.01518,1.84103,0.000260445,0.000260445,0.000260445
169,4057.02,1.3202,0.70731,1.27709,0.80214,0.75582,0.77135,0.35905,2.03884,1.01882,1.84254,0.0002574,0.0002574,0.0002574
170,4080.13,1.31922,0.70312,1.28824,0.79219,0.76428,0.76808,0.35162,2.03753,1.04376,1.86312,0.000254354,0.000254354,0.000254354
